dataset_label,Name,Formula,adsorbate,surface_ref_name,surface_ref_formula,surface_ref_status,E,surface_ref_E,delta_E_to_surface_eV,delta_C,delta_H,delta_O,n_CO_adsorbates,E_ads_CO_eV,n_CH3O_adsorbates,E_ads_CH3OH_to_CH3O_eV,fmax,source_hdf,source_row
Ni5Ga3-slabs,Ni5Ga3-221-clean-2x4x4-CO-hcp-1,CGa12Ni20O,CO,Ni5Ga3-221-clean-2x4x4,Ga12Ni20,ok,-86.53208593,-72.50025308,-14.03183285,1.0,0.0,1.0,1.0,,,,0.0082,/data/Chapter6/Ni5Ga3-slabs.hdf,21
Ni5Ga3-slabs,Ni5Ga3-221-clean-2x4x4-CO-hcp-2,C2Ga12Ni20O2,CO,Ni5Ga3-221-clean-2x4x4,Ga12Ni20,ok,-99.92334901,-72.50025308,-27.423095930000002,2.0,0.0,2.0,2.0,,,,0.0042,/data/Chapter6/Ni5Ga3-slabs.hdf,22
NiO-slabs,NiO-110-0-CO-1,CNi24O25,CO,NiO-110-0,Ni24O24,ok,-175.48632952,-161.68255274,-13.803776779999993,1.0,0.0,1.0,1.0,,,,0.0064,/data/Chapter6/NiO-slabs.hdf,4
NiO-slabs,NiO-110-0-CO-4,C4Ni24O28,CO,NiO-110-0,Ni24O24,ok,-213.50611912,-161.68255274,-51.82356637999999,4.0,0.0,4.0,4.0,,,,0.0073,/data/Chapter6/NiO-slabs.hdf,5
NiO-slabs,NiO-110-0-CO-3,C3Ni24O27,CO,NiO-110-0,Ni24O24,ok,-200.55244434,-161.68255274,-38.86989159999999,3.0,0.0,3.0,3.0,,,,0.0088,/data/Chapter6/NiO-slabs.hdf,6
NiO-slabs,NiO-110-0-CO-2-a,C2Ni24O26,CO,NiO-110-0,Ni24O24,ok,-187.3846659,-161.68255274,-25.702113159999982,2.0,0.0,2.0,2.0,,,,0.0086,/data/Chapter6/NiO-slabs.hdf,7
NiO-slabs,NiO-110-0-CO-2-b,C2Ni24O26,CO,NiO-110-0,Ni24O24,ok,-186.90675443,-161.68255274,-25.22420169,2.0,0.0,2.0,2.0,,,,0.0094,/data/Chapter6/NiO-slabs.hdf,8
NiO-slabs,NiO-110-DFTU-CH3O-1,0,CH3O,NiO-110-DFTU,Ni24O24,ok,0.0,-161.68211123,161.68211123,0.0,0.0,-24.0,,,0.0,,0.0,/data/Chapter6/NiO-slabs.hdf,10
NiO-slabs,NiO-110-DFTU-CO-1,CNi24O25,CO,NiO-110-DFTU,Ni24O24,ok,-137.1047534,-161.68211123,24.57735783000001,1.0,0.0,1.0,1.0,,,,0.0075,/data/Chapter6/NiO-slabs.hdf,11
NiO-slabs,NiO-100-Ga-2x2x4-1-CO-1,CGaNi31O33,CO,NiO-100-Ga-2x2x4-1,GaNi31O32,ok,-235.00518478,-222.35129638,-12.6538884,1.0,0.0,1.0,1.0,,,,0.0094,/data/Chapter6/NiO-slabs.hdf,13
NiO-slabs,NiO-100-Ga-2x2x4-4-CO-1,0,CO,,,missing,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,/data/Chapter6/NiO-slabs.hdf,15
NiO-slabs,NiO-100-clean-2x2x4-AF-1-CH3O-bridge,0,CH3O,NiO-100-clean-2x2x4-AF-1,Ni32O32,ok,0.0,-221.95566513,221.95566513,0.0,0.0,-32.0,,,0.0,,0.0,/data/Chapter6/NiO-slabs.hdf,19
